file_name,subID,phase,trial,stim,stim_cat,resp_cat,resp_time,correct,hit,event,prev_resp_same_cat,prev_resp_correct,prev_resp_hit,next_resp_same_cat,next_resp_correct,next_resp_hit,next_cat_change,RewP,stim_SPN,fdbk_SPN
F1_acq,F01,acq,1,1f,1,4,27089,incorrect,-1,1,,,,,,,,6.8587,4.8128,
F1_acq,F01,acq,2,2m,2,4,32099,incorrect,-1,3,,,,,,,,-2.3218,-9.4142,-12.3841
F1_acq,F01,acq,3,5i,5,4,25420,incorrect,-1,5,,,,,,,,-5.9158,1.0654,-133.7106
F1_acq,F01,acq,4,3g,3,4,31765,incorrect,-1,7,,,,,,,,8.7994,15.4984,
F1_acq,F01,acq,5,3l,3,3,29761,correct,1,9,4,incorrect,-1,3,correct,1,0,-0.8513,-42.2926,19.8269
F1_acq,F01,acq,6,1d,1,2,30763,incorrect,-1,11,4,incorrect,-1,5,incorrect,-1,1,0.7669,-15.8159,-46.2976
F1_acq,F01,acq,7,2d,2,1,16569,incorrect,-1,13,4,incorrect,-1,1,incorrect,-1,0,1.2098,-1.2886,-14.5528
F1_acq,F01,acq,8,4h,4,2,27591,incorrect,-1,15,,,,5,incorrect,-1,1,-10.609,13.1904,-9.7128
F1_acq,F01,acq,9,5g,5,5,76517,correct,1,17,4,incorrect,-1,1,incorrect,-1,1,-1.8759,-13.9221,53.2775
F1_acq,F01,acq,10,3j,3,3,98058,correct,1,19,3,correct,1,5,incorrect,-1,1,-7.3991,-29.0834,-0.6603
F1_acq,F01,acq,11,2k,2,1,38111,incorrect,-1,21,1,incorrect,-1,1,incorrect,-1,0,5.499,11.9881,-39.8991
F1_acq,F01,acq,12,2j,2,1,32433,incorrect,-1,23,1,incorrect,-1,2,correct,1,1,-6.8025,-4.9755,-105.9911
F1_acq,F01,acq,13,1m,1,5,49800,incorrect,-1,25,2,incorrect,-1,3,incorrect,-1,1,1.637,-9.2554,18.7017
F1_acq,F01,acq,14,1k,1,3,46126,incorrect,-1,27,5,incorrect,-1,4,incorrect,-1,1,-7.7011,-15.6355,-93.1761
F1_acq,F01,acq,15,2o,2,2,23249,correct,1,29,1,incorrect,-1,3,incorrect,-1,1,-0.8541,6.6893,-61.4256
F1_acq,F01,acq,16,5h,5,1,101064,incorrect,-1,31,5,correct,1,2,incorrect,-1,1,5.6811,10.4648,58.4689
F1_acq,F01,acq,17,4o,4,5,48296,incorrect,-1,33,2,incorrect,-1,1,incorrect,-1,1,9.9489,-1.2884,-10.3584
F1_acq,F01,acq,18,1h,1,4,35105,incorrect,-1,35,3,incorrect,-1,3,incorrect,-1,1,-7.713,-15.3364,57.1987
F1_acq,F01,acq,19,1n,1,3,44122,incorrect,-1,37,4,incorrect,-1,2,incorrect,-1,1,3.6397,8.4996,2.5742
F1_acq,F01,acq,20,4k,4,1,63492,incorrect,-1,39,5,incorrect,-1,1,incorrect,-1,0,8.8789,-3.3363,-14.0096
F1_acq,F01,acq,21,5p,5,2,58148,incorrect,-1,41,1,incorrect,-1,3,incorrect,-1,1,-8.5338,-6.672,58.2146
F1_acq,F01,acq,22,3d,3,5,81527,incorrect,-1,43,3,correct,1,4,incorrect,-1,1,-7.3836,-7.304,20.0247
F1_acq,F01,acq,23,4l,4,1,63827,incorrect,-1,45,1,incorrect,-1,5,incorrect,-1,1,9.5005,-25.2147,-15.3785
F1_acq,F01,acq,24,3n,3,4,58817,incorrect,-1,47,5,incorrect,-1,4,incorrect,-1,0,6.1239,-20.6792,-21.9482
F1_acq,F01,acq,25,4a,4,5,42285,incorrect,-1,49,1,incorrect,-1,3,incorrect,-1,1,-4.2899,-3.6859,53.5809
F1_acq,F01,acq,26,5k,5,3,35773,incorrect,-1,51,2,incorrect,-1,3,incorrect,-1,0,0.0297,,
F1_acq,F01,acq,27,1c,1,2,48463,incorrect,-1,53,3,incorrect,-1,5,incorrect,-1,1,15.1027,-6.5355,
F1_acq,F01,acq,28,2e,2,3,57147,incorrect,-1,55,2,correct,1,4,incorrect,-1,1,-4.7345,-12.9777,49.0508
F1_acq,F01,acq,29,2a,2,4,60486,incorrect,-1,57,3,incorrect,-1,1,incorrect,-1,1,-3.9044,10.5526,7.735
F1_acq,F01,acq,30,5b,5,3,48464,incorrect,-1,59,3,incorrect,-1,4,incorrect,-1,1,0.2483,-2.8171,-30.0616
F1_acq,F01,acq,31,2g,2,1,69170,incorrect,-1,61,4,incorrect,-1,2,correct,1,1,1.4269,10.2856,-22.2395
F1_acq,F01,acq,32,2p,2,2,62824,correct,1,63,1,incorrect,-1,2,correct,1,0,-30.2707,-19.4806,59.6741
F1_acq,F01,acq,33,2n,2,2,13898,correct,1,65,2,correct,1,1,incorrect,-1,1,14.3234,-26.0488,16.5704
F1_acq,F01,acq,34,4b,4,3,36775,incorrect,-1,67,5,incorrect,-1,2,incorrect,-1,1,0.4843,-5.6595,-3.0538
F1_acq,F01,acq,35,3f,3,4,28593,incorrect,-1,69,4,incorrect,-1,1,incorrect,-1,1,-9.2673,-22.5299,
F1_acq,F01,acq,36,5e,5,4,33936,incorrect,-1,71,3,incorrect,-1,3,incorrect,-1,1,-13.0351,-11.6158,52.0585
F1_acq,F01,acq,37,1j,1,5,15902,incorrect,-1,73,2,incorrect,-1,1,correct,1,1,-3.7045,-1.7144,-129.9556
F1_acq,F01,acq,38,4f,4,2,38278,incorrect,-1,75,3,incorrect,-1,2,incorrect,-1,0,9.4837,-23.2343,-71.4919
F1_acq,F01,acq,39,2h,2,1,17071,incorrect,-1,77,2,correct,1,2,correct,1,1,1.0137,-8.1473,-43.0998
F1_acq,F01,acq,40,3m,3,1,27257,incorrect,-1,79,4,incorrect,-1,3,correct,1,1,-1.9261,11.2863,6.3923
F1_acq,F01,acq,41,4g,4,2,27590,incorrect,-1,81,2,incorrect,-1,4,correct,1,1,4.9472,-7.0824,7.1707
F1_acq,F01,acq,42,5o,5,3,22581,incorrect,-1,83,4,incorrect,-1,2,incorrect,-1,1,-6.896,,60.3277
F1_acq,F01,acq,43,4m,4,4,28759,correct,1,85,2,incorrect,-1,4,correct,1,0,-2.7519,9.8564,26.2204
F1_acq,F01,acq,44,4c,4,4,18406,correct,1,87,4,correct,1,4,correct,1,0,12.9517,1.0996,-23.2837
F1_acq,F01,acq,45,3i,3,3,31098,correct,1,89,1,incorrect,-1,3,correct,1,0,-5.6253,-15.0666,
F1_acq,F01,acq,46,3e,3,3,19075,correct,1,91,3,correct,1,3,correct,1,0,-8.489,-39.5042,
F1_acq,F01,acq,47,4j,4,4,19075,correct,1,93,4,correct,1,5,incorrect,-1,1,25.9954,-7.1918,-3.9583
F1_acq,F01,acq,48,3p,3,3,14565,correct,1,95,3,correct,1,3,correct,1,0,-8.0457,-9.2468,49.309
F1_acq,F01,acq,49,3o,3,3,22581,correct,1,97,3,correct,1,5,incorrect,-1,1,13.2734,-11.0877,-33.5633
F1_acq,F01,acq,50,5n,5,2,22915,incorrect,-1,99,3,incorrect,-1,5,correct,1,1,-5.9949,16.1242,
F1_acq,F01,acq,51,1p,1,1,14232,correct,1,101,5,incorrect,-1,1,correct,1,0,7.3367,-9.2551,-32.0435
F1_acq,F01,acq,52,2b,2,2,25420,correct,1,103,1,incorrect,-1,2,correct,1,0,12.8564,4.3958,
F1_acq,F01,acq,53,2c,2,2,13397,correct,1,105,2,correct,1,3,incorrect,-1,1,1.0496,-2.2763,-36.1486
F1_acq,F01,acq,54,4p,4,5,24083,incorrect,-1,107,4,correct,1,3,incorrect,-1,1,18.0273,4.3376,-32.5349
F1_acq,F01,acq,55,1g,1,1,31098,correct,1,109,1,correct,1,1,correct,1,0,,-24.9916,
F1_acq,F01,acq,56,3h,3,5,24251,incorrect,-1,111,3,correct,1,3,correct,1,1,-1.4117,,-68.2228
F1_acq,F01,acq,57,2f,2,2,29427,correct,1,113,2,correct,1,3,incorrect,-1,1,4.7652,-27.2178,115.2558
F1_acq,F01,acq,58,5m,5,5,45291,correct,1,115,2,incorrect,-1,2,incorrect,-1,1,22.5912,-22.9942,-43.6793
F1_acq,F01,acq,59,4n,4,3,25420,incorrect,-1,117,5,incorrect,-1,4,correct,1,1,-6.6999,-9.1875,
F1_acq,F01,acq,60,1i,1,1,53307,correct,1,119,1,correct,1,2,incorrect,-1,1,7.6335,-18.0502,
F1_acq,F01,acq,61,2l,2,3,68668,incorrect,-1,121,2,correct,1,5,incorrect,-1,1,-4.729,22.1326,-29.9042
F1_acq,F01,acq,62,3b,3,3,44122,correct,1,123,5,incorrect,-1,3,correct,1,0,-18.0427,-5.6452,
F1_acq,F01,acq,63,4e,4,4,20410,correct,1,125,3,incorrect,-1,4,correct,1,0,-3.5748,4.4,88.509
F1_acq,F01,acq,64,5a,5,2,15568,incorrect,-1,127,5,correct,1,5,correct,1,1,-6.0418,-20.0884,16.287
F1_acq,F01,acq,65,3a,3,3,19576,correct,1,129,3,correct,1,3,correct,1,0,7.6266,-3.5834,38.8043
F1_acq,F01,acq,66,4i,4,4,15401,correct,1,131,4,correct,1,3,incorrect,-1,1,1.3904,-4.5796,-60.9842
F1_acq,F01,acq,67,3k,3,3,32934,correct,1,133,3,correct,1,1,incorrect,-1,1,25.5585,-21.8077,11.9622
F1_acq,F01,acq,68,5j,5,5,53974,correct,1,135,2,incorrect,-1,2,incorrect,-1,1,-3.4864,-10.867,-41.1297
F1_acq,F01,acq,69,5c,5,2,55477,incorrect,-1,137,5,correct,1,2,incorrect,-1,0,7.2164,-6.0385,-34.8559
F1_acq,F01,acq,70,3c,3,1,20577,incorrect,-1,139,3,correct,1,,,,,5.0225,-30.0995,2.1324
F1_acq,F01,acq,71,1e,1,2,41450,incorrect,-1,141,1,correct,1,5,incorrect,-1,1,-12.5792,-2.2058,-20.5833
F1_acq,F01,acq,72,5d,5,2,29594,incorrect,-1,143,2,incorrect,-1,1,incorrect,-1,1,1.5485,-7.8486,
F1_acq,F01,acq,73,1a,1,5,90210,incorrect,-1,145,2,incorrect,-1,1,correct,1,1,13.2388,-4.349,49.6143
F1_acq,F01,acq,74,1o,1,1,38612,correct,1,147,5,incorrect,-1,1,correct,1,0,27.2577,,-44.6865
F1_acq,F01,acq,75,5l,5,1,28592,incorrect,-1,149,2,incorrect,-1,2,incorrect,-1,1,7.4506,-33.5083,-50.2281
F1_acq,F01,acq,76,2i,2,5,50635,incorrect,-1,151,3,incorrect,-1,,,,,10.4268,-19.5083,
F1_acq,F01,acq,77,1l,1,1,25754,correct,1,153,1,correct,1,2,incorrect,-1,1,10.3294,-37.083,
F1_acq,F01,acq,78,1b,1,2,38945,incorrect,-1,155,1,correct,1,,,,,12.2174,6.1528,-101.4255
F1_acq,F01,acq,79,5f,5,2,79690,incorrect,-1,157,1,incorrect,-1,,,,,,2.3886,
F1_acq,F01,acq,80,4d,4,3,18907,incorrect,-1,159,4,correct,1,,,,,5.4587,,
F2_acq,F02,acq,1,1f,1,1,19575,correct,1,1,,,,,,,,-2.8001,-22.6745,-17.3677
F2_acq,F02,acq,2,2m,2,2,19241,correct,1,3,,,,,,,,4.8064,-22.2468,17.1571
F2_acq,F02,acq,3,5i,5,2,21913,incorrect,-1,5,,,,,,,,15.6895,32.8025,-21.5638
F2_acq,F02,acq,4,3g,3,3,28759,correct,1,7,,,,,,,,9.4079,-9.2435,-4.8772
F2_acq,F02,acq,5,3l,3,3,35439,correct,1,9,3,correct,1,2,incorrect,-1,1,10.641,-30.8146,-24.2747
F2_acq,F02,acq,6,1d,1,4,32934,incorrect,-1,11,1,correct,1,1,correct,1,1,-0.1875,5.7942,19.8027
F2_acq,F02,acq,7,2d,2,5,22736,incorrect,-1,13,2,correct,1,4,incorrect,-1,1,8.0208,6.3457,-24.9397
F2_acq,F02,acq,8,4h,4,1,26087,incorrect,-1,15,,,,1,incorrect,-1,0,2.5652,15.5891,-7.2756
F2_acq,F02,acq,9,5g,5,3,36775,incorrect,-1,17,2,incorrect,-1,5,correct,1,1,-5.6012,-32.6116,-0.1733
F2_acq,F02,acq,10,3j,3,2,29093,incorrect,-1,19,3,correct,1,4,incorrect,-1,1,3.0471,-5.7902,-1.3001
F2_acq,F02,acq,11,2k,2,4,26422,incorrect,-1,21,5,incorrect,-1,5,incorrect,-1,1,4.3068,7.6888,6.7926
F2_acq,F02,acq,12,2j,2,5,20411,incorrect,-1,23,4,incorrect,-1,4,incorrect,-1,1,12.7507,-3.3333,-2.6804
F2_acq,F02,acq,13,1m,1,1,45458,correct,1,25,4,incorrect,-1,1,correct,1,0,7.7231,10.2003,-22.0949
F2_acq,F02,acq,14,1k,1,1,26255,correct,1,27,1,correct,1,4,incorrect,-1,1,5.2415,5.0975,-18.138
F2_acq,F02,acq,15,2o,2,4,50801,incorrect,-1,29,5,incorrect,-1,3,incorrect,-1,1,-0.577,23.3868,-11.1801
F2_acq,F02,acq,16,5h,5,5,30930,correct,1,31,3,incorrect,-1,5,correct,1,0,14.9162,2.2619,-20.4312
F2_acq,F02,acq,17,4o,4,1,46961,incorrect,-1,33,1,incorrect,-1,2,incorrect,-1,1,-9.7356,-13.6497,-23.7892
F2_acq,F02,acq,18,1h,1,4,41116,incorrect,-1,35,1,correct,1,3,incorrect,-1,1,9.024,2.6489,-10.8552
F2_acq,F02,acq,19,1n,1,3,42285,incorrect,-1,37,4,incorrect,-1,2,incorrect,-1,1,8.0815,4.0692,-9.0037
F2_acq,F02,acq,20,4k,4,2,30930,incorrect,-1,39,1,incorrect,-1,5,incorrect,-1,1,-0.694,11.9112,-7.2341
F2_acq,F02,acq,21,5p,5,5,52471,correct,1,41,5,correct,1,5,correct,1,0,-1.7932,-11.531,-7.8013
F2_acq,F02,acq,22,3d,3,4,48463,incorrect,-1,43,2,incorrect,-1,5,incorrect,-1,1,5.9709,-26.8806,-8.5616
F2_acq,F02,acq,23,4l,4,5,27090,incorrect,-1,45,2,incorrect,-1,2,incorrect,-1,1,1.3597,4.7121,-6.6179
F2_acq,F02,acq,24,3n,3,5,52638,incorrect,-1,47,4,incorrect,-1,5,incorrect,-1,0,-1.367,7.905,-11.6805
F2_acq,F02,acq,25,4a,4,2,28258,incorrect,-1,49,5,incorrect,-1,5,incorrect,-1,1,4.8111,-13.6417,1.9548
F2_acq,F02,acq,26,5k,5,5,87204,correct,1,51,5,correct,1,3,incorrect,-1,1,2.0096,14.4761,1.6234
F2_acq,F02,acq,27,1c,1,2,37943,incorrect,-1,53,3,incorrect,-1,1,correct,1,1,-2.5326,-3.418,-9.4603
F2_acq,F02,acq,28,2e,2,3,19743,incorrect,-1,55,4,incorrect,-1,1,incorrect,-1,1,0.669,-15.1979,-11.1779
F2_acq,F02,acq,29,2a,2,1,68502,incorrect,-1,57,3,incorrect,-1,1,incorrect,-1,0,12.1641,-18.6198,18.707
F2_acq,F02,acq,30,5b,5,3,23583,incorrect,-1,59,5,correct,1,1,incorrect,-1,1,6.8697,-13.324,-14.7992
F2_acq,F02,acq,31,2g,2,1,74847,incorrect,-1,61,1,incorrect,-1,1,incorrect,-1,0,1.5037,-15.2547,-14.721
