subID,acq_cond,G_O_Cat1,G_O_Cat2,G_O_Cat3,G_O_Cat4,G_O_Cat5,G_O_total,G_R_Cat1,G_R_Cat2,G_R_Cat3,G_R_Cat4,G_R_Cat5,G_R_total,G_total,S_O_Cat1,S_O_Cat2,S_O_Cat3,S_O_Cat4,S_O_Cat5,S_O_total,S_R_Cat1,S_R_Cat2,S_R_Cat3,S_R_Cat4,S_R_Cat5,S_R_total,S_total,post_total,acq_total,post_p,acq_p,acq_Cat1,acq_Cat2,acq_Cat3,acq_Cat4,acq_Cat5,focus,usability,aesthetics,endurability,novelty,involve,eng_total,sEBR,enc_SPN,fb_SPN,RewP_ave,RewP_ave_Windows,RewP_hit_ave_Windows,RewP_miss_ave_Windows,RewP_diff_Windows
F01,sterile,1,0,0,0,0,1,1,0,0,0,0,1,2,0,0,0,2,0,2,0,0,2,0,0,2,4,6,28,0.1,0.35,5,6,9,5,3,4,1.88,2.2,2.2,3.33,3,2.77,14,-8.014728,-8.672529032,2.66,1.838007692,3.839711111,0.778282353,3.061428758
F02,game,0,0,2,2,0,4,1,0,2,0,0,3,7,0,0,3,1,0,4,0,0,3,0,0,3,7,14,25,0.233333333,0.3125,5,3,9,3,5,2.86,1.63,2.2,2.4,2.67,3,2.46,15,-3.138982278,-4.6173425,0.39,4.63102875,4.875144,4.520067273,0.355076727
F03,game,0,0,0,3,0,3,0,0,0,3,0,3,6,0,0,1,3,0,4,0,0,1,3,0,4,8,14,63,0.233333333,0.7875,15,13,14,14,7,4.71,3.75,4.4,4.2,3.33,4.67,4.18,38,-4.5799725,-11.091405,-0.74,5.73023,5.572925397,6.313182353,-0.740256956
F04,sterile,3,3,3,3,3,15,3,3,2,3,3,14,29,3,3,3,3,3,15,3,3,3,3,3,15,30,59,46,0.983333333,0.575,8,12,7,12,7,4,3.38,4,3.4,4,3.67,3.74,13,-0.01166875,-5.114973684,-0.17,5.7405525,5.654169565,5.857423529,-0.203253964
F05,sterile,1,1,2,1,0,5,2,0,1,0,0,3,8,1,3,3,3,0,10,1,3,2,3,1,10,20,28,69,0.466666667,0.8625,11,16,15,16,11,3.43,4.63,4,2.8,3,3.33,3.53,36,-3.136441333,-1.730633333,-0.1,0.340267105,0.326093939,0.43381,-0.107716061
F06,game,2,1,0,1,0,4,2,0,1,1,1,5,9,2,0,2,0,0,4,1,0,1,1,0,3,7,16,23,0.266666667,0.2875,8,4,4,4,3,4.86,4.38,2.8,3.2,5,4.67,4.15,29,-6.451925,-20.66977,5.22,-2.70985375,1.039452174,-4.222731579,5.262183753
F07,game,0,0,1,3,0,4,2,1,0,3,0,6,10,0,0,2,1,0,3,0,0,1,2,2,5,8,18,18,0.3,0.225,3,3,4,5,3,3.86,1.63,1.8,2.2,4.33,4.33,3.02,84,-4.19558,-18.56453649,2.2,14.059795,32.62157778,8.670890323,23.95068746
F08,sterile,1,3,3,3,0,10,2,3,3,3,3,14,24,0,3,3,3,0,9,0,3,3,3,0,9,18,42,52,0.7,0.65,9,10,9,14,10,4.5,3.5,2.4,4,5,5,4.07,33,-0.087069231,0.195944737,2.88,9.108626923,10.11551765,7.206722222,2.908795425
F09,sterile,3,0,1,1,0,5,2,0,2,0,0,4,9,0,1,1,0,2,4,1,0,0,1,1,3,7,16,17,0.266666667,0.2125,4,3,3,3,4,3.57,2.13,2.2,2.8,3.67,4,3.06,27,2.112231169,-22.58285915,0.39,-0.047386667,2.25496875,-0.671754237,2.926722987
F10,game,1,1,0,0,0,2,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1,1,1,3,3,6,12,0.1,0.15,2,2,4,4,0,2.43,1.5,1,1.4,2,2.67,1.83,32,3.710053165,0.43219375,12.44,-0.072879747,10.50644167,-1.967683582,12.47412525
