subID,acq_cond,post_cond,retention,rotated,num_correct,rt_correct,md_crt_time,focus,usability,aesthetics,endurability,novelty,involve,eng_total,sEBR,enc_SPN,fb_SPN,RewP_ave,RewP_ave_Windows,RewP_hit_ave_Windows,RewP_miss_ave_Windows,RewP_diff_Windows
F01,sterile,game,-1,-1,1,1,2.6923,4,1.88,2.2,2.2,3.33,3,2.77,14,-8.014728,-8.672529032,2.66,1.838007692,3.839711111,0.778282353,3.061428758
F01,sterile,game,-1,1,1,1,2.0577,4,1.88,2.2,2.2,3.33,3,2.77,14,-8.014728,-8.672529032,2.66,1.838007692,3.839711111,0.778282353,3.061428758
F01,sterile,sterile,1,-1,2,1.414213562,3.37695,4,1.88,2.2,2.2,3.33,3,2.77,14,-8.014728,-8.672529032,2.66,1.838007692,3.839711111,0.778282353,3.061428758
F01,sterile,sterile,1,1,2,1.414213562,3.8028,4,1.88,2.2,2.2,3.33,3,2.77,14,-8.014728,-8.672529032,2.66,1.838007692,3.839711111,0.778282353,3.061428758
F02,game,game,1,-1,4,2,6.1656,2.86,1.63,2.2,2.4,2.67,3,2.46,15,-3.138982278,-4.6173425,0.39,4.63102875,4.875144,4.520067273,0.355076727
F02,game,game,1,1,3,1.732050808,4.5125,2.86,1.63,2.2,2.4,2.67,3,2.46,15,-3.138982278,-4.6173425,0.39,4.63102875,4.875144,4.520067273,0.355076727
F02,game,sterile,-1,-1,4,2,5.2814,2.86,1.63,2.2,2.4,2.67,3,2.46,15,-3.138982278,-4.6173425,0.39,4.63102875,4.875144,4.520067273,0.355076727
F02,game,sterile,-1,1,3,1.732050808,1.6904,2.86,1.63,2.2,2.4,2.67,3,2.46,15,-3.138982278,-4.6173425,0.39,4.63102875,4.875144,4.520067273,0.355076727
F03,game,game,1,-1,3,1.732050808,1.49,4.71,3.75,4.4,4.2,3.33,4.67,4.18,38,-4.5799725,-11.091405,-0.74,5.73023,5.572925397,6.313182353,-0.740256956
F03,game,game,1,1,3,1.732050808,1.323,4.71,3.75,4.4,4.2,3.33,4.67,4.18,38,-4.5799725,-11.091405,-0.74,5.73023,5.572925397,6.313182353,-0.740256956
F03,game,sterile,-1,-1,4,2,3.02435,4.71,3.75,4.4,4.2,3.33,4.67,4.18,38,-4.5799725,-11.091405,-0.74,5.73023,5.572925397,6.313182353,-0.740256956
F03,game,sterile,-1,1,4,2,1.67365,4.71,3.75,4.4,4.2,3.33,4.67,4.18,38,-4.5799725,-11.091405,-0.74,5.73023,5.572925397,6.313182353,-0.740256956
F04,sterile,game,-1,-1,15,3.872983346,1.2562,4,3.38,4,3.4,4,3.67,3.74,13,-0.01166875,-5.114973684,-0.17,5.7405525,5.654169565,5.857423529,-0.203253964
F04,sterile,game,-1,1,14,3.741657387,1.21255,4,3.38,4,3.4,4,3.67,3.74,13,-0.01166875,-5.114973684,-0.17,5.7405525,5.654169565,5.857423529,-0.203253964
F04,sterile,sterile,1,-1,15,3.872983346,1.874,4,3.38,4,3.4,4,3.67,3.74,13,-0.01166875,-5.114973684,-0.17,5.7405525,5.654169565,5.857423529,-0.203253964
F04,sterile,sterile,1,1,15,3.872983346,1.7572,4,3.38,4,3.4,4,3.67,3.74,13,-0.01166875,-5.114973684,-0.17,5.7405525,5.654169565,5.857423529,-0.203253964
F05,sterile,game,-1,-1,5,2.236067977,1.6068,3.43,4.63,4,2.8,3,3.33,3.53,36,-3.136441333,-1.730633333,-0.1,0.340267105,0.326093939,0.43381,-0.107716061
F05,sterile,game,-1,1,3,1.732050808,2.0539,3.43,4.63,4,2.8,3,3.33,3.53,36,-3.136441333,-1.730633333,-0.1,0.340267105,0.326093939,0.43381,-0.107716061
F05,sterile,sterile,1,-1,10,3.16227766,1.0475,3.43,4.63,4,2.8,3,3.33,3.53,36,-3.136441333,-1.730633333,-0.1,0.340267105,0.326093939,0.43381,-0.107716061
F05,sterile,sterile,1,1,10,3.16227766,1.0558,3.43,4.63,4,2.8,3,3.33,3.53,36,-3.136441333,-1.730633333,-0.1,0.340267105,0.326093939,0.43381,-0.107716061
F06,game,game,1,-1,4,2,1.3371,4.86,4.38,2.8,3.2,5,4.67,4.15,29,-6.451925,-20.66977,5.22,-2.70985375,1.039452174,-4.222731579,5.262183753
F06,game,game,1,1,5,2.236067977,1.3564,4.86,4.38,2.8,3.2,5,4.67,4.15,29,-6.451925,-20.66977,5.22,-2.70985375,1.039452174,-4.222731579,5.262183753
F06,game,sterile,-1,-1,4,2,1.2395,4.86,4.38,2.8,3.2,5,4.67,4.15,29,-6.451925,-20.66977,5.22,-2.70985375,1.039452174,-4.222731579,5.262183753
F06,game,sterile,-1,1,3,1.732050808,1.2896,4.86,4.38,2.8,3.2,5,4.67,4.15,29,-6.451925,-20.66977,5.22,-2.70985375,1.039452174,-4.222731579,5.262183753
F07,game,game,1,-1,4,2,2.69225,3.86,1.63,1.8,2.2,4.33,4.33,3.02,84,-4.19558,-18.56453649,2.2,14.059795,32.62157778,8.670890323,23.95068746
F07,game,game,1,1,6,2.449489743,5.05515,3.86,1.63,1.8,2.2,4.33,4.33,3.02,84,-4.19558,-18.56453649,2.2,14.059795,32.62157778,8.670890323,23.95068746
F07,game,sterile,-1,-1,3,1.732050808,5.4308,3.86,1.63,1.8,2.2,4.33,4.33,3.02,84,-4.19558,-18.56453649,2.2,14.059795,32.62157778,8.670890323,23.95068746
F07,game,sterile,-1,1,5,2.236067977,2.8927,3.86,1.63,1.8,2.2,4.33,4.33,3.02,84,-4.19558,-18.56453649,2.2,14.059795,32.62157778,8.670890323,23.95068746
F08,sterile,game,-1,-1,10,3.16227766,0.99745,4.5,3.5,2.4,4,5,5,4.07,33,-0.087069231,0.195944737,2.88,9.108626923,10.11551765,7.206722222,2.908795425
F08,sterile,game,-1,1,14,3.741657387,1.5401,4.5,3.5,2.4,4,5,5,4.07,33,-0.087069231,0.195944737,2.88,9.108626923,10.11551765,7.206722222,2.908795425
F08,sterile,sterile,1,-1,9,3,1.0224,4.5,3.5,2.4,4,5,5,4.07,33,-0.087069231,0.195944737,2.88,9.108626923,10.11551765,7.206722222,2.908795425
F08,sterile,sterile,1,1,9,3,1.0057,4.5,3.5,2.4,4,5,5,4.07,33,-0.087069231,0.195944737,2.88,9.108626923,10.11551765,7.206722222,2.908795425
F09,sterile,game,-1,-1,5,2.236067977,4.2787,3.57,2.13,2.2,2.8,3.67,4,3.06,27,2.112231169,-22.58285915,0.39,-0.047386667,2.25496875,-0.671754237,2.926722987
F09,sterile,game,-1,1,4,2,2.13285,3.57,2.13,2.2,2.8,3.67,4,3.06,27,2.112231169,-22.58285915,0.39,-0.047386667,2.25496875,-0.671754237,2.926722987
F09,sterile,sterile,1,-1,4,2,3.00955,3.57,2.13,2.2,2.8,3.67,4,3.06,27,2.112231169,-22.58285915,0.39,-0.047386667,2.25496875,-0.671754237,2.926722987
F09,sterile,sterile,1,1,3,1.732050808,1.9743,3.57,2.13,2.2,2.8,3.67,4,3.06,27,2.112231169,-22.58285915,0.39,-0.047386667,2.25496875,-0.671754237,2.926722987
F10,game,game,1,-1,2,1.414213562,4.12,2.43,1.5,1,1.4,2,2.67,1.83,32,3.710053165,0.43219375,12.44,-0.072879747,10.50644167,-1.967683582,12.47412525
F10,game,game,1,1,1,1,3.1097,2.43,1.5,1,1.4,2,2.67,1.83,32,3.710053165,0.43219375,12.44,-0.072879747,10.50644167,-1.967683582,12.47412525
F10,game,sterile,-1,-1,0,0,,2.43,1.5,1,1.4,2,2.67,1.83,32,3.710053165,0.43219375,12.44,-0.072879747,10.50644167,-1.967683582,12.47412525
F10,game,sterile,-1,1,3,1.732050808,4.1784,2.43,1.5,1,1.4,2,2.67,1.83,32,3.710053165,0.43219375,12.44,-0.072879747,10.50644167,-1.967683582,12.47412525
F11,game,game,1,-1,2,1.414213562,5.4141,3.71,3,2.4,2.2,4.33,4,3.27,30,-7.370304,2.322827273,5.06,-1.111103797,3.019746667,-2.079271875,5.099018542
F11,game,game,1,1,1,1,5.0802,3.71,3,2.4,2.2,4.33,4,3.27,30,-7.370304,2.322827273,5.06,-1.111103797,3.019746667,-2.079271875,5.099018542
F11,game,sterile,-1,-1,1,1,3.3102,3.71,3,2.4,2.2,4.33,4,3.27,30,-7.370304,2.322827273,5.06,-1.111103797,3.019746667,-2.079271875,5.099018542
F11,game,sterile,-1,1,1,1,3.21,3.71,3,2.4,2.2,4.33,4,3.27,30,-7.370304,2.322827273,5.06,-1.111103797,3.019746667,-2.079271875,5.099018542
