Time,Fz_Incorrect,Fz_Correct,Fz_RewP
-100,0.01,-0.2636,-0.2736
-96,0.0383,-0.1734,-0.2117
-92,0.0575,-0.1175,-0.175
-88,0.0567,-0.0833,-0.14
-84,0.0342,-0.0583,-0.0924
-80,0.0033,-0.0356,-0.039
-76,-0.0184,-0.0126,0.0058
-72,-0.0147,0.0003,0.0151
-68,0.0237,-0.0003,-0.024
-64,0.0855,0.0022,-0.0833
-60,0.1371,0.0185,-0.1186
-56,0.1456,0.043,-0.1026
-52,0.1054,0.0715,-0.0339
-48,0.0374,0.1055,0.0681
-44,-0.0256,0.1391,0.1647
-40,-0.0558,0.1542,0.2099
-36,-0.0537,0.1349,0.1886
-32,-0.0505,0.0828,0.1333
-28,-0.0713,0.0207,0.0921
-24,-0.1049,-0.0175,0.0874
-20,-0.1221,-0.0139,0.1082
-16,-0.112,0.0172,0.1292
-12,-0.0805,0.0397,0.1202
-8,-0.0352,0.0163,0.0514
-4,0.01,-0.0699,-0.0799
0,0.0359,-0.1994,-0.2354
4,0.0357,-0.3213,-0.357
8,0.0152,-0.3811,-0.3962
12,-0.0189,-0.3564,-0.3375
16,-0.0614,-0.2772,-0.2158
20,-0.1031,-0.1965,-0.0933
24,-0.1298,-0.1342,-0.0044
28,-0.1329,-0.0733,0.0597
32,-0.121,-0.0069,0.1142
36,-0.1161,0.0447,0.1607
40,-0.1347,0.0623,0.197
44,-0.1731,0.0516,0.2247
48,-0.2184,0.0388,0.2572
52,-0.2672,0.0448,0.312
56,-0.3174,0.0551,0.3725
60,-0.3562,0.032,0.3882
64,-0.3659,-0.0347,0.3311
68,-0.3415,-0.1152,0.2263
72,-0.3012,-0.1722,0.129
76,-0.2659,-0.1902,0.0757
80,-0.2243,-0.1748,0.0495
84,-0.1342,-0.1245,0.0096
88,0.0296,-0.024,-0.0536
92,0.2293,0.1193,-0.11
96,0.3767,0.2553,-0.1214
100,0.397,0.3212,-0.0759
104,0.2751,0.2687,-0.0064
108,0.0421,0.0716,0.0296
112,-0.2643,-0.2598,0.0045
116,-0.6132,-0.669,-0.0559
120,-0.9574,-1.082,-0.1246
124,-1.2174,-1.441,-0.2236
128,-1.311,-1.7035,-0.3926
132,-1.1946,-1.8304,-0.6357
136,-0.8702,-1.7935,-0.9233
140,-0.372,-1.5708,-1.1987
144,0.2475,-1.1369,-1.3845
148,0.9327,-0.5094,-1.4421
152,1.6236,0.227,-1.3966
156,2.2559,0.9816,-1.2743
160,2.7853,1.6982,-1.0871
164,3.2077,2.3328,-0.8749
168,3.5383,2.8499,-0.6884
172,3.7821,3.2464,-0.5357
176,3.9417,3.5544,-0.3872
180,4.0453,3.8237,-0.2216
184,4.137,4.0873,-0.0498
188,4.2323,4.3328,0.1006
192,4.301,4.5266,0.2255
196,4.2989,4.6548,0.3559
200,4.2044,4.7178,0.5134
204,4.0369,4.713,0.6761
208,3.8422,4.6429,0.8007
212,3.6501,4.5212,0.871
216,3.459,4.3718,0.9128
220,3.2694,4.2317,0.9624
224,3.1058,4.1345,1.0287
228,2.9934,4.0875,1.0941
232,2.9272,4.0769,1.1496
236,2.8727,4.0857,1.213
240,2.7942,4.0938,1.2996
244,2.6797,4.0768,1.3971
248,2.5391,4.0209,1.4819
252,2.3892,3.9328,1.5436
256,2.2392,3.8373,1.5981
260,2.0932,3.7662,1.673
264,1.9673,3.7444,1.7771
268,1.8833,3.7945,1.9112
272,1.839,3.9316,2.0926
276,1.8003,4.131,2.3306
280,1.7305,4.3357,2.6053
284,1.6246,4.5117,2.8871
288,1.5179,4.6586,3.1407
292,1.4569,4.7676,3.3108
296,1.4634,4.8133,3.3499
300,1.5306,4.8005,3.2699
304,1.6369,4.7816,3.1446
308,1.7623,4.81,3.0477
312,1.9005,4.8994,2.9989
316,2.0612,5.0257,2.9645
320,2.2605,5.1573,2.8967
324,2.514,5.2955,2.7815
328,2.8302,5.4747,2.6444
332,3.2025,5.7076,2.5051
336,3.6087,5.9606,2.3519
